,AAPL_Expected,AMC_Expected,BBBY_Expected,FIZZ_Expected,GME_Expected,LGND_Expected,NOKIA_Expected,VIAC_Expected,AAPL_Prediction,AMC_Prediction,BBBY_Prediction,FIZZ_Prediction,GME_Prediction,LGND_Prediction,NOKIA_Prediction,VIAC_Prediction
482,135.43721713326488,10.2,25.76,49.0,194.64,149.66,3.502,62.18117047979205,152.95592,35.230946,35.900597,56.500908,194.64104,156.89493,28.033905,63.63181
483,135.50699416424544,10.2,25.46,48.36,192.55,148.86,3.5225,62.042351091063445,159.33206,33.53572,34.5329,59.31174,192.55025,158.13948,33.425068,62.609844
484,136.93243922570542,10.21,25.81,49.25,190.01,147.85,3.5005,63.95607552139352,153.93726,33.481014,39.0668,58.903923,190.00963,154.73656,32.981148,65.64735
485,136.44400000884153,10.21,25.9,49.21,189.82,146.88,3.514,64.10481058074559,162.91241,34.110172,36.07891,52.954258,189.81961,146.45842,28.93607,66.27973
486,136.89755071021517,9.83,26.51,49.72,188.93,146.94,3.509,64.20396728698032,159.55809,28.91744,37.746807,64.634964,188.92787,145.50504,34.618725,61.071056
487,137.53052806268164,9.715,26.63,49.43,187.29,146.69,3.4975,65.63182385676026,162.14526,29.138369,36.25144,66.39577,187.2908,151.32353,33.41919,64.2865
488,137.5504643572475,9.67,25.37,49.13,187.29,146.96,3.522,66.36062564758544,151.80365,29.316513,34.703213,64.39816,187.29091,146.90227,30.375029,76.46465
489,138.6469605583706,9.5,25.14,47.58,192.72,150.23,3.5135,65.63182385676026,151.87976,35.54629,33.490833,69.76183,192.72086,147.2544,27.898611,70.36974
490,138.49743834912653,9.415,25.28,48.61,193.28,151.3,3.5095,65.82022159860622,159.30814,27.849255,36.27333,56.92901,193.28046,155.56502,32.99361,68.795815
491,138.95597312414165,9.36,25.2,49.03,190.62,149.44,3.5045,65.62190818613679,149.97691,32.846237,36.513298,58.73157,190.62206,155.24075,33.35664,80.32098
492,139.52415751926904,9.36,24.8,48.22,191.45,152.48,3.509,65.49300446803166,156.74431,35.533855,35.116444,57.23743,191.43936,151.90558,30.554134,75.704384
493,139.77336120134248,10.41,25.98,48.5,183.42,154.09,3.506,65.49300446803166,155.40634,32.782524,36.513832,60.69607,183.42072,156.30446,33.814743,74.92204
494,139.92288341058654,11.04,26.1,48.51,190.11,156.29,3.524,65.49300446803166,154.27895,32.052635,38.483955,70.49547,190.10777,154.9648,33.191517,79.65201
495,141.68724547966636,10.772,25.89,49.07,182.64,157.0,3.522,63.90649716827616,149.26428,32.104095,35.05229,57.66304,182.64185,155.10323,35.273567,69.88708
496,141.4480099448759,10.72,25.8,49.43,185.0,160.0,3.5185,63.79742479141797,145.63768,32.218536,35.82766,62.346085,185.0,159.6068,30.855362,67.02822
497,142.35511134762316,10.49,26.46,48.52,183.63,167.25,3.4835,63.34130394273826,152.33157,34.326557,37.898502,57.592663,183.63281,157.75157,33.68772,65.628876
498,142.19562099109618,10.62,26.42,48.34,186.14,167.35,3.481,63.02400248278716,150.01466,34.398098,38.136528,59.552147,186.14046,167.972,33.31482,66.104004
499,144.47832671888872,10.61,26.32,48.8,186.95,160.0,3.487,64.01556954513435,146.19356,34.580143,33.57096,62.934673,186.94382,165.49582,31.779726,65.755585
500,140.640590014958,10.22,26.81,48.39,189.67,159.01,3.4765,64.05523222762822,151.96756,35.007423,37.04055,59.876728,189.67105,159.35028,33.611023,66.36339
501,142.13581210739855,10.09,27.1,48.39,186.67,158.93,3.4645,63.81725613266491,152.69342,30.285992,42.076923,61.910355,186.66942,158.55551,33.265057,63.449615
502,141.97632175087156,10.08,27.28,47.79,187.21,160.13,3.469,63.70818375580672,143.08607,34.69614,35.98238,63.3607,187.20909,159.15189,32.08766,63.11809
503,142.20558913837908,10.19,28.02,50.27,186.03,162.73,3.489,63.46029199021992,155.03896,33.711563,34.09841,57.005257,186.02982,158.00006,33.30104,65.78555
504,142.24047765386936,10.28,27.7,49.7,185.0,162.35,3.498,62.914930105928974,153.56477,29.620108,34.896152,65.30519,184.9991,157.79317,32.902256,65.03166
505,142.4448246731696,10.19,27.5,49.81,184.39,165.33,3.5085,63.23223156588007,152.22963,34.320827,35.213005,57.87689,184.39307,159.48233,28.978344,65.6008
506,143.0628498047117,10.2,27.55,47.73,184.5,164.79,3.5145,63.291725589620896,156.61885,28.889225,37.168816,63.64301,184.5026,160.27591,32.89462,67.682175
